,0,1,2,3,4,5
532144869,532144833,1674426169,,,,
1674426169,532144869,532144917,1674426167,,,
533730977,2152098620,,,,,
2152098620,533730977,533730981,2152098628,,,
533730981,2152098620,533730984,2152059909,2152123238,,
533730999,2803117234,533730988,533730986,,,
2803117234,533730999,3441478333,2803117235,,,
3441478333,2803117234,,,,,
533730991,1426288661,1314766259,,,,
1426288661,533730991,1426288658,,,,
533730988,533730999,,,,,
533730986,533730999,,,,,
533896766,529919028,1462813794,534449469,,,
1257863418,3250824213,1780955525,533901352,,,
3250824213,1257863418,533901577,,,,
533904857,528701125,528701161,534690689,534690692,,
529916099,28818210,2244507603,3660969541,2244507580,,
28818210,529916099,3660969552,533904863,,,
533905339,533905338,534690696,516454294,,,
468781357,472463963,468770179,,,,
472463963,468781357,28809589,,,,
3077304609,409717363,1943818236,,,,
513620781,672833432,546271668,513620780,,,
672833432,513620781,672833467,506885998,,,
534444645,28818088,472465169,,,,
28818088,534444645,2021184557,,,,
472465169,534444645,2062630292,,,,
1462813794,533896766,4285208715,1462813645,,,
4285208715,1462813794,1190929884,4285208748,,,
1190929884,4285208715,533896770,,,,
534451351,534451353,514745036,282539228,,,
534451353,534451351,534451356,,,,
2979389044,534451354,534451356,,,,
534451356,534451353,534451360,2979389044,,,
534455956,1184068745,534455960,1184068719,,,
1184068745,534455956,,,,,
534455960,534455956,534455961,,,,
1184068719,534455956,534455963,,,,
534668848,1465495320,906964728,534669123,,,
1465495320,534668848,534668921,1578716656,,,
534668921,1465495320,2979387718,534669116,,,
534669116,1465495317,534668921,1578716639,,,
1465495317,534669116,950326674,1578716656,,,
950326674,1465495317,534669123,950326748,,,
534669123,950326674,534668848,28814433,,,
2979387711,534455945,2979387718,2979387714,,,
534455945,2979387711,534451362,528206166,,,
2979387718,534668921,2979387714,2979387711,,,
2429867745,529915267,529916131,2429867757,,,
529916131,2429867745,533901498,2429867750,529916119,,
534690687,2117391607,2085745540,,,,
2117391607,534690687,2117391544,2117391610,2117391555,,
2117391544,2117391607,3653473498,2117391555,,,
3653473498,2117391544,486098058,3653473501,,,
534690692,534690689,534690693,529913123,533904857,,
534690689,534690692,2117391603,533904857,,,
534690696,534690695,530020576,533905339,,,
535390045,535390050,2694629974,574312409,,,
535390050,535390045,535390054,1979255098,,,
535390054,535390050,,,,,
1979255098,535390050,535390059,1979255114,,,
